Chromosome 5'	Position 5'	Chromosome 3'	Position 3'	Gene 5'	Gene 3'	Cell line
4	145985724	4	146086349	ANAPC10	OTUD4	MS751
2	43712373	2	207530753	THADA	DYTN	SK-N-DZ
9	36923352	9	20456784	PAX5	MLLT3	SK-N-DZ
2	175006553	2	238688065	OLA1	LRRFIP1	SK-N-DZ
3	182679014	17	30190535	DCUN1D1	UTP6	SK-N-DZ
5	1264519	2	29606725	TERT	ALK	KELLY
17	58734202	17	58506723	PPM1D	C17orf64	NALM-6
17	59557680	7	139060808	TBX4	LUC7L2	SUM 52PE
2	173431661	2	172966374	PDK1	DLX2	SUM 52PE
2	242041668	2	242196221	MTERFD2	HDLBP	SUM 52PE
19	49494559	19	49642925	GYS1	PPFIA3	SUM 52PE
12	120884364	11	85961338	GATC	EED	SUM 52PE
10	123310804	10	124793872	FGFR2	ACADSB	SUM 52PE
4	1209779	1	161882086	CTBP1	ATF6	SUM 52PE
10	124708165	10	124746385	C10orf88	PSTK	SUM 52PE
1	970704	12	132635526	AGRN	NOC4L	SUM 52PE
11	62650471	11	62529267	SLC3A2	POLR2G	COV362
3	98568305	1	62588693	DCBLD2	INADL	COV362
3	101293123	7	24874355	PCNP	OSBPL3	CAL 54
2	70008706	14	73763993	ANXA4	NUMB	CAL 54
16	8906963	16	8841965	PMM2	ABAT	Caki-1
19	6709695	17	49247298	C3	NME2	Caki-1
17	29422387	18	77737701	NF1	TXNL4A	UM-UC-3
5	179160428	5	177987749	MAML1	COL23A1	UM-UC-3
4	174090112	4	174294541	GALNT7	SAP30	UM-UC-3
17	57697534	17	57917129	CLTC	VMP1	UM-UC-3
2	47389425	10	93788547	CALM2	BTAF1	UM-UC-3
11	59560987	18	43675097	STX3	ATP5A1	UM-UC-1
1	169454801	1	167935867	SLC19A2	DCAF6	UM-UC-1
21	44841518	7	5642888	SIK1	FSCN1	UM-UC-1
13	113862913	13	113873259	PCID2	CUL4A	UM-UC-1
2	203139912	1	9171548	NOP58	GPR157	UM-UC-1
11	104839246	3	130442431	CASP4	PIK3R4	UM-UC-1
6	41703884	6	42196407	TFEB	TRERF1	BICR 22
9	130293927	9	131505024	FAM129B	ZER1	BICR 22
3	183705558	20	60714253	ABCC5	PSMA7	BICR 22
12	1017200	12	1599259	WNK1	ERC1	SNU-719
6	41703884	6	42196407	TFEB	TRERF1	SNU-719
10	6154324	17	38547892	RBM17	TOP2A	SNU-719
7	2395055	14	102548158	EIF3B	HSP90AA1	SNU-719
6	20488479	6	20649524	E2F3	CDKAL1	SNU-719
6	41703884	6	42196407	TFEB	TRERF1	SNU-620
7	116593745	7	138189035	ST7	TRIM24	SNU-620
6	3410422	6	20649524	SLC22A23	CDKAL1	SNU-620
16	8906963	16	8858595	PMM2	ABAT	SNU-620
9	128697886	9	131277808	PBX3	GLE1	SNU-620
19	4433536	19	5047487	CHAF1A	KDM4B	SNU-620
17	79803020	2	232577514	P4HB	PTMA	KATO-III
4	99917018	4	99823133	METAP1	EIF4E	KATO-III
8	141645584	8	141321473	EIF2C2	TRAPPC9	KATO-III
3	129020985	3	168820014	C3orf37	MECOM	KATO-III
1	970704	16	427848	AGRN	TMEM8A	KATO-III
7	100470366	19	49993107	TRIP6	RPL13A	SK23
5	240591	7	89982130	SDHA	GTPBP10	SK23
12	56359720	10	111987947	PMEL	MXI1	SK23
7	158621780	7	157475629	ESYT2	PTPRN2	SK23
7	148457588	7	140487384	CUL1	BRAF	SK23
7	105516258	7	126410119	ATXN7L1	GRM8	SK23
5	64817302	16	89713739	CENPK	CHMP1A	Hs 294T
16	4163751	11	125659281	ADCY9	PATE3	Hs 294T
17	72773514	17	72764286	TMEM104	SLC9A3R1	COV413B
15	71704162	15	71185923	THSD4	LRRC49	COV413B
12	69140559	12	69109407	SLC35E3	NUP107	COV413B
8	125740125	8	126088742	MTSS1	KIAA0196	COV413B
12	50822873	12	51034507	LARP4	DIP2B	COV413B
7	90007525	13	33315218	GTPBP10	PDS5B	COV413B
11	33182845	11	34093273	CSTF3	CAPRIN1	COV413B
12	863490	1	24075511	WNK1	TCEB3	COV318
4	148550843	4	148944414	TMEM184C	ARHGAP10	COV318
2	42806340	2	44099115	MTA3	ABCG8	COV318
17	79031767	17	79227040	BAIAP2	SLC38A10	COV318
8	38186896	8	39564309	WHSC1L1	ADAM18	NCI-H446
2	58276102	16	31199646	VRK2	FUS	NCI-H446
8	98657115	8	110131277	MTDH	TRHR	NCI-H446
12	75601077	12	75687147	KCNC2	CAPS2	NCI-H446
9	132876942	7	2587112	GPR107	BRAT1	NCI-H446
14	35649983	14	32586346	KIAA0391	ARHGAP5	NCI-H2170
17	37872192	16	85698621	ERBB2	KIAA0182	NCI-H2170
20	58533850	14	60752342	CDH26	PPM1A	NCI-H2170
1	46650980	1	54513045	TSPAN1	TMEM59	NCI-H2110
1	54534570	19	50285014	TCEANC2	AP2A1	NCI-H2110
19	49990901	1	54747200	RPL13A	SSBP3	NCI-H2110
8	144900363	9	136223790	PUF60	SURF2	NCI-H2110
1	46597519	19	50285014	PIK3R3	AP2A1	NCI-H2110
1	61554352	1	53440441	NFIA	SCP2	NCI-H2110
1	23660011	1	32653555	HNRNPR	TXLNA	NCI-H2110
1	59787422	1	53600101	FGGY	SLC1A7	NCI-H2110
1	94654393	1	86591897	ARHGAP29	COL24A1	NCI-H2110
14	70235968	6	124604151	SRSF5	NKAIN2	NCI-H146
1	70694238	16	31199646	SRSF11	FUS	NCI-H146
8	37623873	9	131453449	PROSC	SET	NCI-H146
4	16077310	4	16215521	PROM1	TAPT1	NCI-H146
22	42987961	22	43023694	POLDIP3	CYB5R3	NCI-H146
16	8906963	16	8858595	PMM2	ABAT	NCI-H146
5	140071341	18	56816745	HARS2	SEC11C	NCI-H146
11	31392406	11	31455117	DNAJC24	IMMP1L	NCI-H146
5	240591	7	89982130	SDHA	GTPBP10	HCC44
2	86276007	2	100210751	POLR1A	AFF3	HCC44
9	33319125	9	33262828	NFX1	BAG1	HCC44
14	102606509	14	102468874	WDR20	DYNC1H1	ChaGo-K-1
1	151512902	1	180366740	TUFT1	ACBD6	ChaGo-K-1
20	60718945	20	60551391	SS18L1	TAF4	ChaGo-K-1
3	170079217	3	168861620	SKIL	MECOM	ChaGo-K-1
17	78308070	19	49147826	RNF213	CA11	ChaGo-K-1
15	55881002	15	52350830	PYGO1	MAPK6	ChaGo-K-1
3	169981217	3	169099312	PRKCI	MECOM	ChaGo-K-1
1	19923603	3	49140842	MINOS1	QARS	ChaGo-K-1
22	50944464	22	50965167	LMF2	TYMP	ChaGo-K-1
X	79971656	X	80375316	BRWD3	HMGN5	ChaGo-K-1
9	32984629	9	33464974	APTX	NOL6	ChaGo-K-1
19	19129918	19	19153520	SUGP2	ARMC6	PLC/PRF/5
12	96076483	16	89590414	NTN4	SPG7	PLC/PRF/5
16	1402307	16	1836538	GNPTG	NUBP2	PLC/PRF/5
14	75386548	20	60716000	RPS6KL1	PSMA7	huH-1
9	134497183	9	100119909	RAPGEF1	C9orf174	huH-1
22	19375234	22	19455526	HIRA	UFD1L	huH-1
10	70123741	10	70096956	RUFY2	HNRNPH3	BFTC-909
12	56915873	12	56197512	RBMS2	SARNP	BFTC-909
21	48069651	20	17937681	PRMT2	SNX5	BFTC-909
16	57831984	16	57965782	KIFC3	CNGB1	BFTC-909
19	39330736	19	45872001	HNRNPL	ERCC2	BFTC-909
5	10748287	6	110428397	DAP	WASF1	BFTC-909
17	57697534	17	57987923	CLTC	RPS6KB1	BFTC-909
16	89627776	22	36688280	RPL13	MYH9	HN
19	45532250	4	39558190	RELB	C4orf34	HN
19	33892627	19	45535792	PEPD	RELB	HN
12	65146478	12	46757786	GNS	SLC38A2	HN
9	96214671	9	95765207	FAM120A	FGD3	HN
11	35211612	11	34952951	CD44	PDHX	HN
22	23524426	22	21067678	BCR	PI4KA	HN
18	9914332	18	9859225	VAPA	RAB31	BHY
1	24020403	22	36684459	RPL11	MYH9	BHY
7	116381079	7	116166579	MET	CAV1	BHY
9	96212761	7	65595114	FAM120AOS	CRCP	BHY
20	45976600	9	94991408	ZMYND8	IARS	OUMS-23
19	49589818	14	23303381	SNRNP70	MRPL52	OUMS-23
14	51208300	14	51368547	NIN	ABHD12B	OUMS-23
4	141074014	4	148944414	MAML3	ARHGAP10	OUMS-23
10	24727408	13	25399757	KIAA1217	RNF17	OUMS-23
11	61734784	12	69109407	FTH1	NUP107	OUMS-23
3	58118658	3	57902633	FLNB	SLMAP	OUMS-23
13	41556119	4	159814869	ELF1	C4orf45	OUMS-23
6	74229606	2	162223989	EEF1A1	PSMD14	OUMS-23
17	36965955	17	37111186	CWC25	FBXO47	OUMS-23
5	179150020	6	74229239	CANX	EEF1A1	OUMS-23
19	1011366	19	1119163	C19orf6	SBNO2	OUMS-23
17	5266311	1	95492816	RABEP1	ALG14	HT55 (IVCC)
3	48019355	3	47632327	MAP4	SMARCC1	HT55 (IVCC)
4	99579297	4	99950018	TSPAN5	METAP1	HCA-7
16	18851020	12	98991634	SMG1	SLC25A3	HCA-7
8	56985676	22	36705441	RPS20	MYH9	HCA-7
10	99223615	10	103921313	MMS19	NOLC1	HCA-7
1	109446876	16	23766982	GPSM2	CHP2	HCA-7
9	33166756	9	33262828	B4GALT1	BAG1	ME-180
19	11266293	19	11289396	SPC24	KANK2	LN-229
12	125348141	12	125435350	SCARB1	DHX37	LN-229
20	25249843	20	25205841	PYGB	ENTPD6	LN-229
2	133425973	2	133430878	LYPD1	NCKAP5	LN-229
19	18632731	19	18644157	ELL	FKBP8	LN-229
11	33738916	11	33773153	CD59	FBXO3	LN-229
16	67159945	16	67132613	C16orf70	CBFB	LN-229
9	102691125	9	102606931	STX17	NR4A3	LN-18
9	102691125	9	102988344	STX17	INVS	LN-18
12	132423820	12	132404524	PUS1	ULK1	LN-18
16	56839544	16	69481053	NUP93	CYB5B	LN-18
5	139421955	5	138994171	NRG2	UBE2D2	LN-18
16	82069294	16	68835573	HSD17B2	CDH1	LN-18
7	1166893	7	966280	C7orf50	ADAP1	LN-18
1	227923200	14	23237167	SNAP47	OXA1L	Hs 683
1	108724563	18	56822920	SLC25A24	SEC11C	Hs 683
2	151328141	2	112832489	RND3	TMEM87B	Hs 683
3	25805557	3	47913590	NGLY1	MAP4	Hs 683
6	114270143	6	109983866	HDAC2	AKD1	Hs 683
6	31759387	6	31848869	VARS	EHMT2	A172
11	113205759	16	89713739	TTC12	CHMP1A	A172
3	194343953	3	194373871	TMEM44	LSG1	A172
17	27844674	17	16675291	TAOK1	CCDC144A	A172
16	69294163	16	70690505	SNTB2	IL34	A172
2	55842587	16	89713739	SMEK2	CHMP1A	A172
9	135201711	16	24808811	SETX	TNRC6A	A172
7	1486349	16	57447786	MICALL2	CCL17	A172
7	208976	9	134504641	FAM20C	RAPGEF1	A172
16	67070658	16	70500035	CBFB	FUK	A172
1	174969331	1	174926594	CACYBP	RABGAP1L	A172
7	1166893	7	1486464	C7orf50	MICALL2	A172
20	49492630	20	49520538	BCAS4	ADNP	A172
5	178585724	5	179440311	ADAMTS2	RNF130	A172
11	118353210	6	168265231	MLL	MLLT4	ML-2
14	31572122	20	43610470	HECTD1	STK4	ML-2
14	58818041	20	44699175	ARID4A	NCOA5	ML-2
9	138830068	12	76446890	UBAC1	NAP1L1	MHH-ES-1
16	69221649	16	69167361	SNTB2	CIRH1A	MHH-ES-1
2	135815656	16	89713739	RAB3GAP1	CHMP1A	MHH-ES-1
8	37623873	9	131453449	PROSC	SET	MHH-ES-1
1	114522252	2	152349008	OLFML3	NEB	MHH-ES-1
7	120595678	1	185274775	ING3	IVNS1ABP	MHH-ES-1
17	43240226	17	43180319	HEXIM2	NMT1	MHH-ES-1
22	29683123	11	128651853	EWSR1	FLI1	MHH-ES-1
2	112619966	9	127167711	ANAPC1	PSMB7	MHH-ES-1
8	38854679	17	4074155	ADAM9	ANKFY1	MHH-ES-1
1	150048390	11	121177766	VPS45	SC5DL	143B
2	61597456	2	62110683	USP34	CCT4	143B
2	47206046	2	49295429	TTC7A	FSHR	143B
11	118405070	11	121008130	TMEM25	TECTA	143B
5	145826971	5	145598548	TCERG1	RBM27	143B
6	43146620	14	75590926	SRF	NEK9	143B
2	241938467	2	242401938	SNED1	FARP2	143B
22	22899232	10	5842668	PRAME	GDI2	143B
11	117023244	11	118869140	PAFAH1B2	CCDC84	143B
4	99917018	4	99823133	METAP1	EIF4E	143B
19	6417750	1	78429847	KHSRP	FUBP1	143B
14	24657550	19	1585213	IPO4	MBD3	143B
4	174449886	5	1488566	HAND2	LPCAT1	143B
5	112312683	5	112238215	DCP2	REEP5	143B
20	59829993	9	131453449	CDH4	SET	143B
1	114447227	1	115261366	AP4B1	CSDE1	143B
5	112903546	22	41231891	YTHDC2	ST13	"Jurkat, Clone E6-1"
2	160132057	1	163306541	WDSUB1	NUF2	"Jurkat, Clone E6-1"
2	3358321	X	38525375	TSSC1	TSPAN7	"Jurkat, Clone E6-1"
2	172749715	11	30354413	SLC25A12	C11orf46	"Jurkat, Clone E6-1"
9	130211560	13	42040959	RPL12	RGCC	"Jurkat, Clone E6-1"
4	109084724	4	108930915	LEF1	HADH	"Jurkat, Clone E6-1"
22	47033857	9	131453449	GRAMD4	SET	"Jurkat, Clone E6-1"
7	92210820	7	92404145	FAM133B	CDK6	"Jurkat, Clone E6-1"
17	79177294	17	7246698	AZI1	ACAP1	"Jurkat, Clone E6-1"
4	1349033	4	1305767	KIAA1530	MAEA	MOLP-2
4	57976043	4	57887065	IGFBP7	POLR2B	HCC1162
8	68123718	8	68346475	ARFGEF1	CPA6	HCC1162
17	57970686	17	57886157	RPS6KB1	VMP1	SCC-9
1	151171557	1	151089868	PIP5K1A	GABPB2	SCC-9
17	41355803	16	15815491	NBR1	MYH11	SCC-9
9	34306250	9	36249394	KIF24	GNE	SCC-9
3	52029058	1	79101022	RPL29	IFI44L	SCC-25
11	66824505	11	66743651	RHOD	C11orf86	SCC-25
1	95007093	16	89611056	F3	SPG7	SCC-25
2	71748034	2	71631000	DYSF	ZNF638	SCC-25
16	89627776	22	36688280	RPL13	MYH9	BICR 31
3	9000604	3	10114937	RAD18	FANCD2	BICR 31
11	118122937	11	118133812	MPZL3	MPZL2	BICR 31
2	232160966	2	238617187	ARMC9	LRRFIP1	BICR 31
6	151561859	6	151413603	AKAP12	MTHFD1L	SK-MEL-24
3	49044964	17	1340449	WDR6	CRK	Hs 839.T
6	169982932	6	163956014	WDR27	QKI	SW1417
6	125619860	6	35810381	HDDC2	SRPK1	SW1417
19	572701	19	547280	BSG	GZMM	SW1417
9	99607172	11	85409121	ZNF782	SYTL2	HCC1263
9	139794972	9	140087143	TRAF2	TPRN	HCC1263
7	128607334	7	138774505	TNPO3	ZC3HAV1	HCC1263
19	1207202	4	1326545	STK11	MAEA	HCC1263
15	44887457	15	86236508	SPG11	AKAP13	HCC1263
20	61300430	20	60881253	SLCO4A1	ADRM1	HCC1263
19	4400321	9	140087143	SH3GL1	TPRN	HCC1263
8	21998138	8	95183213	REEP4	CDH17	HCC1263
2	44445676	10	90762786	PPM1B	FAS	HCC1263
7	33063651	3	47960331	NT5C3	MAP4	HCC1263
19	6230581	9	140087143	MLLT1	TPRN	HCC1263
1	3496389	1	20828682	MEGF6	MUL1	HCC1263
10	118764533	10	126100769	KIAA1598	OAT	HCC1263
17	39914651	12	56651695	JUP	ANKRD52	HCC1263
7	139876544	7	140402666	JHDM1D	NDUFB2	HCC1263
2	163200785	2	162223989	GCA	PSMD14	HCC1263
9	139757740	9	140087143	EDF1	TPRN	HCC1263
12	12790648	12	13208485	CREBL2	KIAA1467	HCC1263
19	4442338	11	69462762	CHAF1A	CCND1	HCC1263
15	44581554	15	77908242	CASC4	LINGO1	HCC1263
16	1400808	16	1364021	C16orf42	UBE2I	HCC1263
8	54742004	1	185274775	ATP6V1H	IVNS1ABP	HCC1263
20	62337709	9	140087143	ARFRP1	TPRN	HCC1263
15	69076736	2	232325577	ANP32A	NCL	HCC1263
17	953290	9	140087143	ABR	TPRN	HCC1263
8	100026163	8	98817581	VPS13B	LAPTM4B	BFTC-905
11	63960759	11	62600603	STIP1	WDR74	BFTC-905
15	69746060	15	69721450	RPLP1	KIF23	BFTC-905
12	6879165	2	232325275	PTMS	NCL	BFTC-905
22	21101871	1	192998579	PI4KA	UCHL5	BFTC-905
17	33904915	9	127561564	PEX12	OLFML2A	BFTC-905
11	63756224	11	63743697	OTUB1	COX8A	BFTC-905
17	29422387	13	114285938	NF1	TFDP1	BFTC-905
2	206992521	2	207026762	NDUFS1	EEF1B2	BFTC-905
19	3981945	15	64454353	EEF2	PPIB	BFTC-905
7	132659929	7	133160082	CHCHD3	EXOC4	BFTC-905
1	247241896	1	241901665	ZNF670	WDR64	UCSD-242l
5	167924353	5	151183446	RARS	G3BP1	UCSD-242l
2	232325380	12	6879323	NCL	PTMS	UCSD-242l
15	44175901	11	46783743	FRMD5	CKAP5	UCSD-242l
14	74425927	3	176755960	COQ6	TBL1XR1	UCSD-242l
6	74407295	6	74175932	CD109	MTO1	UCSD-242l
12	70732343	2	232577153	CNOT2	PTMA	PE/CA-PJ15
7	33217203	7	33035775	BBS9	FKBP9	PE/CA-PJ15
3	179322727	3	179291157	NDUFB5	ACTL6A	CAL 27
20	62337709	5	137895780	ARFRP1	HSPA9	CAL 27
8	144906483	16	57806200	PUF60	KIFC3	SNU-668
10	120840140	10	120914689	EIF3A	SFXN4	SNU-668
11	85521997	11	85742653	SYTL2	PICALM	SNU-638
15	64448924	7	44839301	PPIB	PPIA	SNU-638
7	133502297	7	133824189	EXOC4	LRGUK	SNU-638
22	36907550	2	99988119	EIF3D	EIF5B	SNU-638
12	123868755	12	123751829	SETD8	CDK2AP1	SNU-484
1	52135184	1	51578136	OSBPL9	C1orf185	SNU-484
6	30522352	6	30698877	GNL1	FLOT1	SNU-484
14	102500525	14	102348498	DYNC1H1	PPP2R5C	SNU-484
18	46917963	19	1429966	DYM	DAZAP1	SNU-484
19	1428994	18	46889603	DAZAP1	DYM	SNU-484
20	25371149	12	82850506	ABHD12	C12orf26	SNU-484
3	73114292	2	232325577	PPP4R2	NCL	SNU-216
8	89339304	8	109241424	MMP16	EIF3E	SNU-216
7	5567912	5	179260032	ACTB	SQSTM1	SNU-216
16	16165586	16	692120	ABCC1	FAM195A	SNU-216
3	49044964	10	111987947	WDR6	MXI1	MeWo
12	56359720	12	133331719	PMEL	ANKLE2	MeWo
10	88822413	17	30205346	GLUD1	UTP6	MeWo
17	41152119	17	40966691	RPL27	BECN1	LOX-IMVI (IVCC)
7	112108170	19	49993107	IFRD1	RPL13A	LOX-IMVI (IVCC)
15	76566753	15	77769897	ETFA	HMG20A	LOX-IMVI (IVCC)
8	11710838	19	50906750	CTSB	POLD1	LOX-IMVI (IVCC)
20	36361469	9	100774703	CTNNBL1	ANP32B	LOX-IMVI (IVCC)
17	57697534	17	57987923	CLTC	RPS6KB1	LOX-IMVI (IVCC)
18	77037196	18	74092259	ATP9B	ZNF516	LOX-IMVI (IVCC)
7	208976	7	647089	FAM20C	PRKAR1B	Hs 69ST
15	65998429	20	58456078	DENND4A	SYCP2	Hs 69ST
3	197518411	3	197483297	LRCH3	FYTTD1	A-431
1	183155566	1	183072463	LAMC2	LAMC1	A-431
15	71704162	22	42967127	THSD4	SERHL2	SJCRH30
19	11266293	19	11289396	SPC24	KANK2	SJCRH30
1	213251158	1	213046020	RPS6KC1	FLVCR1	SJCRH30
13	79216257	13	42866521	RNF219	AKAP11	SJCRH30
14	103167667	14	100563818	RCOR1	EVL	SJCRH30
2	223084859	13	41134997	PAX3	FOXO1	SJCRH30
12	57894305	12	58208009	MARS	AVIL	SJCRH30
5	137909452	5	140021250	HSPA9	TMCO6	SJCRH30
9	133470975	6	158567945	FUBP3	SERAC1	SJCRH30
13	41239720	2	223066909	FOXO1	PAX3	SJCRH30
2	48132628	15	67950891	FBXO11	MAP2K5	SJCRH30
10	75156277	3	57357647	ANXA7	DNAH12	SJCRH30
2	65659096	2	65331940	SPRED2	RAB1A	SW837
11	62644351	11	63357840	SLC3A2	PLA2G16	SW837
2	232325380	2	232577153	NCL	PTMA	SW837
7	2618160	7	2418324	IQCE	EIF3B	SW837
9	132876942	4	79522664	GPR107	ANXA3	SW837
5	148386444	5	61778928	SH3TC2	IPO11	PC-3
7	98991742	3	47887190	ARPC1B	DHX30	PC-3
22	21965332	12	25398329	UBE2L3	KRAS	DU 145
14	52468584	14	37180687	C14orf166	SLC25A21	DU 145
19	13906615	5	52942063	ZSWIM4	NDUFS4	PE01
6	160113693	15	60656722	SOD2	ANXA2	PE01
14	78182222	14	69695533	SLIRP	EXD2	PE01
8	95390408	17	37934020	RAD54B	IKZF3	PE01
2	238436159	9	133543545	MLPH	PRDM12	PE01
12	52631353	19	7614793	KRT7	PNPLA6	PE01
15	90333691	15	90414778	ANPEP	AP3S2	PE01
20	60572606	20	60716000	TAF4	PSMA7	OvCA 432
12	6879165	8	95539591	PTMS	KIAA1429	OvCA 432
4	737372	11	64901089	PCGF3	SYVN1	OvCA 432
16	48337216	16	48396341	LONP2	SIAH1	OvCA 432
1	10523115	1	10511434	DFFA	CORT	OvCA 432
19	49459590	19	49424411	BAX	NUCB1	OvCA 432
17	3385092	1	154898959	ASPA	PMVK	OvCA 432
X	23739998	X	23892574	ACOT9	APOO	OvCA 432
22	20922918	22	21119981	MED15	PI4KA	OV-90 (IVCC)
19	58499575	19	58601753	ZNF606	ZSCAN18	NIH:OVCAR-3
16	4911103	16	4660556	UBN1	FAM100A	NIH:OVCAR-3
18	21595002	18	21508087	TTC39C	LAMA3	NIH:OVCAR-3
11	72492020	11	72613683	STARD10	FCHSD2	NIH:OVCAR-3
10	76924498	10	76855553	SAMD8	DUSP13	NIH:OVCAR-3
17	29761140	17	29483001	RAB11FIP4	NF1	NIH:OVCAR-3
14	65205573	14	64877808	PLEKHG3	MTHFD1	NIH:OVCAR-3
15	72226011	1	53245525	MYO9A	ZYG11B	NIH:OVCAR-3
11	75134736	11	75173934	KLHL35	GDPD5	NIH:OVCAR-3
1	154794565	1	155452240	KCNN3	ASH1L	NIH:OVCAR-3
12	29464883	10	27964483	FAR2	MKX	NIH:OVCAR-3
10	61665880	10	61874089	CCDC6	ANK3	NIH:OVCAR-3
1	65145439	1	64516358	CACHD1	ROR1	NIH:OVCAR-3
6	31134311	1	109766600	POU5F1	SARS	IGROV-1 (IVCC)
1	201983152	X	118920695	ELF3	RPL39	IGROV-1 (IVCC)
22	19076881	22	19211577	DGCR2	CLTCL1	IGROV-1 (IVCC)
7	132754902	X	53565415	CHCHD3	HUWE1	IGROV-1 (IVCC)
3	123679991	8	17847368	CCDC14	PCM1	IGROV-1 (IVCC)
7	141255367	7	140402666	AGK	NDUFB2	IGROV-1 (IVCC)
17	17740041	17	17810845	SREBF1	TOM1L2	COLO-704
1	44878394	1	180135626	RNF220	QSOX1	COLO-704
16	18812753	11	129979324	ARL6IP1	APLP2	COLO-704
5	170818803	2	29446394	NPM1	ALK	SR
X	123020389	X	123224425	XIAP	STAG2	NCI-N417
16	84096910	3	56707753	MBTPS1	FAM208A	NCI-N417
6	125475116	11	12518005	TPD52L1	PARVA	NCI-H82
1	155307880	11	32975403	ASH1L	QSER1	NCI-H82
1	84383287	1	84967653	TTLL7	GNG5	NCI-H727 (ATCC)
7	47336680	7	47886669	TNS3	PKD1L1	NCI-H727 (ATCC)
1	44303983	1	54870603	ST3GAL3	SSBP3	NCI-H727 (ATCC)
11	116968859	11	117090474	SIK3	PCSK7	NCI-H727 (ATCC)
8	48320523	8	135521992	KIAA0146	ZFAT	NCI-H727 (ATCC)
12	133084936	12	131311812	FBRSL1	STX2	NCI-H727 (ATCC)
9	17330806	9	19378916	CNTLN	RPS6	NCI-H727 (ATCC)
20	31979948	9	88903659	CDK5RAP1	ZCCHC6	NCI-H727 (ATCC)
8	131249168	22	49042409	ASAP1	FAM19A5	NCI-H727 (ATCC)
14	32563592	14	33147517	ARHGAP5	AKAP6	NCI-H727 (ATCC)
15	85343208	7	69364272	ZNF592	AUTS2	NCI-H322T
7	99220263	7	101559395	ZNF498	CUX1	NCI-H322T
20	33902491	20	35852281	UQCC	RPN2	NCI-H322T
20	33981895	20	34515702	UQCC	PHF20	NCI-H322T
17	76183514	17	76166898	AFMID	SYNGR2	NCI-H322T
9	15447242	9	18681810	SNAPC3	ADAMTSL1	NCI-H1437 (ATCC)
16	2079783	11	66039628	SLC9A3R2	RAB1B	NCI-H1437 (ATCC)
5	5466615	5	16067902	KIAA0947	MARCH11	NCI-H1437 (ATCC)
17	80399765	17	80196578	HEXDC	SLC16A3	NCI-H1437 (ATCC)
12	50281169	21	47801609	FAIM2	PCNT	NCI-H1437 (ATCC)
8	62531537	8	37914599	ASPH	EIF4EBP1	NCI-H1437 (ATCC)
12	3147274	17	30696314	TEAD4	ZNF207	HT-1080
11	66052344	11	66050204	YIF1A	CNIH2	HCC515 (UTSW)
3	49412867	2	197540867	RHOA	CCDC150	HCC515 (UTSW)
8	61429812	8	62596747	RAB2A	ASPH	HCC515 (UTSW)
12	120659426	12	120802558	PXN	MSI1	HCC515 (UTSW)
9	139757358	9	139717977	EDF1	C9orf86	HCC515 (UTSW)
14	81362062	14	81663828	CEP128	GTF2A1	HCC515 (UTSW)
14	103474809	17	26907138	CDC42BPB	SPAG5	HCC515 (UTSW)
14	74191975	1	224455835	C14orf43	NVL	HCC515 (UTSW)
10	73892815	10	74135630	ASCC1	MICU1	HCC515 (UTSW)
12	3121398	12	1250786	TEAD4	ERC1	HCC4017 (UTSW)
20	35812776	7	27578036	RPN2	HIBADH	HCC4017 (UTSW)
6	128505577	6	138817508	PTPRK	NHSL1	HCC4017 (UTSW)
10	122334813	10	118427834	PPAPDC1A	C10orf82	HCC4017 (UTSW)
12	1553916	12	1993487	ERC1	CACNA2D4	HCC4017 (UTSW)
16	78198186	16	78005747	WWOX	VAT1L	HCC1171 (UTSW)
17	58013902	17	57886157	RPS6KB1	VMP1	HCC1171 (UTSW)
17	73178909	17	74684258	SUMO2	MXRA7	SNU-423
1	72748002	1	70694105	NEGR1	SRSF11	SNU-423
11	62340056	22	36705441	EEF1G	MYH9	SNU-423
6	74229060	8	118847790	EEF1A1	EXT1	SNU-423
7	64023303	6	84326758	ZNF680	SNAP91	SNU-398
19	3638882	19	3381710	PIP5K1C	NFIC	SNU-398
10	34985246	8	38826110	PARD3	PLEKHA2	SNU-398
9	7015929	18	77960815	KDM4C	PARD6G	SNU-398
20	13251390	11	9424837	ISM1	IPO7	SNU-398
18	19119881	18	19244191	ESCO1	ABHD3	SNU-398
14	31495110	14	31163979	STRN3	SCFD1	JHH-7
12	20523178	12	20893118	PDE3A	SLCO1C1	JHH-7
19	2041039	19	2102267	MKNK2	AP3D1	JHH-7
9	115337531	9	115216293	KIAA1958	HSDL2	JHH-7
19	1428994	18	46889603	DAZAP1	DYM	JHH-7
19	13054443	4	74309064	CALR	AFP	JHH-7
16	67174497	16	67132613	C16orf70	CBFB	JHH-7
7	23226765	7	891021	NUPL2	SUN1	JHH-2
12	53292463	10	17277845	KRT8	VIM	JHH-2
1	173703425	1	206628224	KLHL20	SRGAP2	JHH-2
7	2618160	7	2418324	IQCE	EIF3B	JHH-2
14	32563592	14	32315677	ARHGAP5	NUBPL	JHH-2
9	131721413	9	131689317	NUP188	PHYHD1	HUH-7
5	61857084	5	93489829	IPO11	KIAA0825	HUH-7
18	29890156	7	96810324	FAM59A	ACN9	HUH-7
7	91991587	7	158109624	ANKIB1	PTPRN2	HUH-7
5	124079777	5	93217394	ZNF608	FAM172A	TK-10
12	922980	12	1480999	WNK1	ERC1	TK-10
2	191840538	2	191923495	STAT1	STAT4	TK-10
