fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
ADSL::CDH18__22:40361342-5:19981178	ADSL::CDH18	22:40361342-5:19981178	+	-	4	18	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
MARCH6::MTRR__5:10394785-5:7883155	MARCH6::MTRR	5:10394785-5:7883155	+	+	2	18	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
TNRC6B::BASP1__22:40156182-5:17212120	TNRC6B::BASP1	22:40156182-5:17212120	+	+	1	22	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
GUSBP11::SHANK3__22:23717031-22:50698690	GUSBP11::SHANK3	22:23717031-22:50698690	-	+	3	9	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
RNF185::EIF4ENIF1__22:31160303-22:31471917	RNF185::EIF4ENIF1	22:31160303-22:31471917	+	-	2	13	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
PDE4D::RNF180__5:59768247-5:64369615	PDE4D::RNF180	5:59768247-5:64369615	-	+	2	12	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
ITGA2::MYO18B__5:53058101-22:25992363	ITGA2::MYO18B	5:53058101-22:25992363	+	+	2	9	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
EFCAB6::OSBP2__22:43782180-22:30694208	EFCAB6::OSBP2	22:43782180-22:30694208	-	+	1	11	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
MAPK12::SSTR3__22:50255197-22:37207839	MAPK12::SSTR3	22:50255197-22:37207839	-	-	1	10	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
TTC28::KIAA1671__22:28679622-22:25190702	TTC28::KIAA1671	22:28679622-22:25190702	-	+	1	3	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
IPO11::SLC6A19__5:62476753-5:1218903	IPO11::SLC6A19	5:62476753-5:1218903	+	+	1	2	KIRP	TCGA-P4-A5EB-01A-11R-A28H-07
LTBR::PRSS3__12:6386444-9:33796643	LTBR::PRSS3	12:6386444-9:33796643	+	+	73	301	KIRP	TCGA-P4-AAVM-01A-11R-A42S-07
CALU::LAP3__7:128767655-4:17598456	CALU::LAP3	7:128767655-4:17598456	+	+	2	1	KIRP	TCGA-PJ-A5Z8-01A-11R-A28H-07
DPP4::PDK1__2:162045532-2:172586278	DPP4::PDK1	2:162045532-2:172586278	-	+	25	93	KIRP	TCGA-Q2-A5QZ-01A-11R-A28H-07
GLTSCR1L::PMS1__6:42782101-2:189863743	GLTSCR1L::PMS1	6:42782101-2:189863743	+	+	5	18	KIRP	TCGA-Q2-A5QZ-01A-11R-A28H-07
SLC25A12::ERICH2__2:171991347-2:170798041	SLC25A12::ERICH2	2:171991347-2:170798041	-	+	5	13	KIRP	TCGA-Q2-A5QZ-01A-11R-A28H-07
NFAT5::CSMD2__16:69566374-1:33550350	NFAT5::CSMD2	16:69566374-1:33550350	+	-	19	71	KIRP	TCGA-SX-A71S-01A-11R-A33Z-07
SFPQ::TFE3__1:35189003-X:49040568	SFPQ::TFE3	1:35189003-X:49040568	-	-	47	171	KIRP	TCGA-SX-A7SO-01A-11R-A355-07
FAM134B::TERT__5:16508578-5:1282624	FAM134B::TERT	5:16508578-5:1282624	-	-	6	53	KIRP	TCGA-UZ-A9PN-01A-11R-A38C-07
ZNF318::COL21A1__6:43348324-6:56126149	ZNF318::COL21A1	6:43348324-6:56126149	-	-	9	50	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
ELOVL5::PFKFB3__6:53348817-10:6213623	ELOVL5::PFKFB3	6:53348817-10:6213623	-	+	4	27	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
DAPK1::WSCD1__9:87658127-17:5888757	DAPK1::WSCD1	9:87658127-17:5888757	+	+	9	4	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
CD2AP::TRERF1__6:47554766-6:42300749	CD2AP::TRERF1	6:47554766-6:42300749	+	-	2	11	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
POLH::PKHD1__6:43601091-6:51791373	POLH::PKHD1	6:43601091-6:51791373	+	-	2	10	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
WSCD1::DAPK1__17:5888830-9:87668597	WSCD1::DAPK1	17:5888830-9:87668597	+	+	2	2	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
RPP38::GPR158__10:15111786-10:25221052	RPP38::GPR158	10:15111786-10:25221052	+	+	1	3	KIRP	TCGA-UZ-A9PQ-01A-11R-A42S-07
APP::ITM2B__21:25975070-13:48253808	APP::ITM2B	21:25975070-13:48253808	-	+	1	3	KIRP	TCGA-UZ-A9PR-01A-11R-A42S-07
DNMT3B::MMP9__20:32762699-20:46009866	DNMT3B::MMP9	20:32762699-20:46009866	+	+	3	9	KIRP	TCGA-Y8-A8S1-01A-11R-A37K-07
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	2	22	LAML	TCGA-AB-2803-03A-01T-0734-13
RPL32::RP11-1084A12.1__3:12836198-15:34086184	RPL32::RP11-1084A12.1	3:12836198-15:34086184	-	-	1	12	LAML	TCGA-AB-2803-03A-01T-0734-13
DYRK1A::TTC3__21:37420384-21:37108392	DYRK1A::TTC3	21:37420384-21:37108392	+	+	1	0	LAML	TCGA-AB-2807-03A-01T-0734-13
CBFB::MYH11__16:67082339-16:15721051	CBFB::MYH11	16:67082339-16:15721051	+	-	19	23	LAML	TCGA-AB-2815-03A-01T-0734-13
BCR::ABL1__22:23182239-9:130854064	BCR::ABL1	22:23182239-9:130854064	+	+	14	56	LAML	TCGA-AB-2817-03A-01T-0736-13
CAMKK2::KDM2B__12:121245140-12:121453344	CAMKK2::KDM2B	12:121245140-12:121453344	-	-	1	0	LAML	TCGA-AB-2817-03A-01T-0736-13
LIMS1::LIMS4__2:108684114-2:110451887	LIMS1::LIMS4	2:108684114-2:110451887	+	-	1	13	LAML	TCGA-AB-2818-03A-01T-0734-13
RUNX1::RUNX1T1__21:34859474-8:92017363	RUNX1::RUNX1T1	21:34859474-8:92017363	-	-	1	159	LAML	TCGA-AB-2819-03A-01T-0734-13
MIR1244-2::PTMAP5__5:118974651-13:81690786	MIR1244-2::PTMAP5	5:118974651-13:81690786	+	+	1	10	LAML	TCGA-AB-2819-03A-01T-0734-13
GOSR1::ZNF207__17:30484770-17:32369295	GOSR1::ZNF207	17:30484770-17:32369295	+	+	1	18	LAML	TCGA-AB-2820-03A-01T-0735-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	9	41	LAML	TCGA-AB-2823-03A-01T-0736-13
RAB2A::CLVS1__8:60517253-8:61131770	RAB2A::CLVS1	8:60517253-8:61131770	+	+	5	6	LAML	TCGA-AB-2823-03A-01T-0736-13
PIK3CB::PCCB__3:138834695-3:136260479	PIK3CB::PCCB	3:138834695-3:136260479	-	+	1	0	LAML	TCGA-AB-2823-03A-01T-0736-13
CBFB::MYH11__16:67082339-16:15727054	CBFB::MYH11	16:67082339-16:15727054	+	-	1	52	LAML	TCGA-AB-2828-03A-01T-0734-13
NOD2::RP11-327F22.4__16:50712401-16:50784189	NOD2::RP11-327F22.4	16:50712401-16:50784189	+	-	2	20	LAML	TCGA-AB-2828-03A-01T-0734-13
ABR::YWHAE__17:1228793-17:1365058	ABR::YWHAE	17:1228793-17:1365058	-	-	1	0	LAML	TCGA-AB-2832-03A-01T-0736-13
KMT2A::MLLT10__11:118225744-10:22248307	KMT2A::MLLT10	11:118225744-10:22248307	+	+	7	6	LAML	TCGA-AB-2832-03A-01T-0736-13
SIK3::C11orf1__11:118225744-10:22248307	SIK3::C11orf1	11:118225744-10:22248307	-	+	6	7	LAML	TCGA-AB-2832-03A-01T-0736-13
KMT2A::ELL__11:118473834-19:18450570	KMT2A::ELL	11:118473834-19:18450570	+	-	1	21	LAML	TCGA-AB-2834-03A-01T-0734-13
LRRC37A4P::LRRC37A3__17:45508054-17:64854471	LRRC37A4P::LRRC37A3	17:45508054-17:64854471	-	-	1	17	LAML	TCGA-AB-2839-03A-01T-0734-13
CDK12::FBXL20__17:39471763-17:39343241	CDK12::FBXL20	17:39471763-17:39343241	+	-	1	0	LAML	TCGA-AB-2839-03A-01T-0734-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	5	27	LAML	TCGA-AB-2840-03A-01T-0734-13
PML::RARA__15:74024927-17:40348316	PML::RARA	15:74024927-17:40348316	+	+	1	27	LAML	TCGA-AB-2841-03B-01T-0760-13
KMT2A::MLLT10__11:118223925-10:22164152	KMT2A::MLLT10	11:118223925-10:22164152	+	+	15	4	LAML	TCGA-AB-2842-03A-01T-0734-13
LYZ::IRAK1__12:69348514-X:154010742	LYZ::IRAK1	12:69348514-X:154010742	+	-	1	0	LAML	TCGA-AB-2844-03A-01T-0736-13
KMT2A::ELL__11:118223925-19:18687538	KMT2A::ELL	11:118223925-19:18687538	+	-	13	25	LAML	TCGA-AB-2844-03A-01T-0736-13
CBFB::MYH11__16:67029439-16:15717156	CBFB::MYH11	16:67029439-16:15717156	+	-	1	36	LAML	TCGA-AB-2846-03A-01T-0736-13
SSH3::KDM2A__11:67306988-11:67255288	SSH3::KDM2A	11:67306988-11:67255288	+	+	1	0	LAML	TCGA-AB-2847-03A-01T-0736-13
PICALM::MLLT10__11:85981129-10:21651673	PICALM::MLLT10	11:85981129-10:21651673	-	+	2	30	LAML	TCGA-AB-2849-03A-01T-0734-13
GSK3B::TIAM1__3:120002194-21:31225844	GSK3B::TIAM1	3:120002194-21:31225844	-	-	1	0	LAML	TCGA-AB-2849-03A-01T-0734-13
PAN3::FLT3__13:28220378-13:28070612	PAN3::FLT3	13:28220378-13:28070612	+	-	1	0	LAML	TCGA-AB-2853-03A-01T-0734-13
PICALM::MLLT10__11:85974708-10:21661023	PICALM::MLLT10	11:85974708-10:21661023	-	+	2	46	LAML	TCGA-AB-2855-03A-01T-0736-13
NUP98::NSD1__11:3744509-5:177235821	NUP98::NSD1	11:3744509-5:177235821	-	+	1	5	LAML	TCGA-AB-2856-03A-01T-0736-13
PRMT1::TLE6__19:49677316-19:2980100	PRMT1::TLE6	19:49677316-19:2980100	+	+	1	15	LAML	TCGA-AB-2857-03A-01T-0736-13
WDR18::H2AFX__19:985975-11:118964971	WDR18::H2AFX	19:985975-11:118964971	+	-	4	13	LAML	TCGA-AB-2857-03A-01T-0736-13
RUNX1::RUNX1T1__21:34888217-8:92005225	RUNX1::RUNX1T1	21:34888217-8:92005225	-	-	1	292	LAML	TCGA-AB-2858-03A-01T-0736-13
NBPF25P::NBPF1__1:145586091-1:16574577	NBPF25P::NBPF1	1:145586091-1:16574577	-	-	1	13	LAML	TCGA-AB-2859-03A-01T-0736-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	6	82	LAML	TCGA-AB-2862-03A-01T-0736-13
GAPVD1::PTGR1__9:125261959-9:111549799	GAPVD1::PTGR1	9:125261959-9:111549799	+	-	3	9	LAML	TCGA-AB-2868-03A-01T-0736-13
RRN3P2::BANP__16:29096155-16:87981075	RRN3P2::BANP	16:29096155-16:87981075	+	+	1	10	LAML	TCGA-AB-2868-03A-01T-0736-13
CTSS::HP1BP3__1:150751560-1:20743407	CTSS::HP1BP3	1:150751560-1:20743407	-	-	1	0	LAML	TCGA-AB-2868-03A-01T-0736-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	3	25	LAML	TCGA-AB-2872-03A-01T-0735-13
RPS5::MPO__19:58394551-17:58270002	RPS5::MPO	19:58394551-17:58270002	+	-	1	7	LAML	TCGA-AB-2874-03A-01T-0735-13
RPS8::MPO__1:44775909-17:58280911	RPS8::MPO	1:44775909-17:58280911	+	-	1	4	LAML	TCGA-AB-2874-03A-01T-0735-13
RUNX1::RUNX1T1__21:34859474-8:92017363	RUNX1::RUNX1T1	21:34859474-8:92017363	-	-	1	341	LAML	TCGA-AB-2875-03A-01T-0735-13
LYZ::SMG1__12:69353485-16:18807805	LYZ::SMG1	12:69353485-16:18807805	+	-	1	1	LAML	TCGA-AB-2875-03A-01T-0735-13
STK10::SNX2__5:172082325-5:122817348	STK10::SNX2	5:172082325-5:122817348	-	+	1	0	LAML	TCGA-AB-2875-03A-01T-0735-13
RPL13::MPO__16:89563433-17:58270004	RPL13::MPO	16:89563433-17:58270004	+	-	1	0	LAML	TCGA-AB-2879-03A-01T-0735-13
ANAPC2::CEBPA__9:137180506-19:33301511	ANAPC2::CEBPA	9:137180506-19:33301511	-	-	23	0	LAML	TCGA-AB-2880-03A-01T-0735-13
CBFB::MYH11__16:67082339-16:15721051	CBFB::MYH11	16:67082339-16:15721051	+	-	20	17	LAML	TCGA-AB-2881-03A-01T-0735-13
CHMP6::RPTOR__17:80999394-17:80857789	CHMP6::RPTOR	17:80999394-17:80857789	+	+	1	0	LAML	TCGA-AB-2882-03A-01T-0740-13
ABR::YWHAE__17:1228793-17:1365058	ABR::YWHAE	17:1228793-17:1365058	-	-	1	0	LAML	TCGA-AB-2884-03A-01T-0735-13
RUNX1::RUNX1T1__21:34859474-8:92017363	RUNX1::RUNX1T1	21:34859474-8:92017363	-	-	4	482	LAML	TCGA-AB-2886-03A-01T-0735-13
DSTYK::NUCKS1__1:205211271-1:205729621	DSTYK::NUCKS1	1:205211271-1:205729621	-	-	1	0	LAML	TCGA-AB-2888-03B-01T-0748-13
CBFB::MYH11__16:67082339-16:15721051	CBFB::MYH11	16:67082339-16:15721051	+	-	8	9	LAML	TCGA-AB-2888-03B-01T-0748-13
CBFB::MYH11__16:67036652-16:15720975	CBFB::MYH11	16:67036652-16:15720975	+	-	1	69	LAML	TCGA-AB-2889-03A-01T-0735-13
EEF1A1::MPO__6:73519921-17:58269880	EEF1A1::MPO	6:73519921-17:58269880	-	-	1	7	LAML	TCGA-AB-2889-03A-01T-0735-13
ST8SIA2::IGKJ3__15:92464725-2:88861255	ST8SIA2::IGKJ3	15:92464725-2:88861255	+	-	9	0	LAML	TCGA-AB-2891-03A-01T-0735-13
COX6B1::COX6B1P4__19:35651258-8:26836217	COX6B1::COX6B1P4	19:35651258-8:26836217	+	-	1	8	LAML	TCGA-AB-2896-03B-01T-0751-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	3	37	LAML	TCGA-AB-2897-03A-01T-0735-13
MKNK2::RNF126__19:2041840-19:652884	MKNK2::RNF126	19:2041840-19:652884	-	-	3	6	LAML	TCGA-AB-2897-03A-01T-0735-13
BCR::ABL1__22:23290413-9:130854064	BCR::ABL1	22:23290413-9:130854064	+	+	3	43	LAML	TCGA-AB-2901-03A-01T-0735-13
DNMT3B::MDM4__20:32802470-1:204525484	DNMT3B::MDM4	20:32802470-1:204525484	+	+	1	17	LAML	TCGA-AB-2904-03A-01T-0734-13
PRSS2::PRSS1__7:142772167-7:142751797	PRSS2::PRSS1	7:142772167-7:142751797	+	+	1	13	LAML	TCGA-AB-2908-03A-01T-0740-13
KAT6A::CREBBP__8:41937256-16:3851009	KAT6A::CREBBP	8:41937256-16:3851009	-	-	2	12	LAML	TCGA-AB-2910-03A-01T-0740-13
LILRB3::LILRB4__19:54218382-19:54666465	LILRB3::LILRB4	19:54218382-19:54666465	-	+	2	13	LAML	TCGA-AB-2911-03A-01T-0734-13
KMT2A::ELL__11:118484975-19:18458329	KMT2A::ELL	11:118484975-19:18458329	+	-	1	11	LAML	TCGA-AB-2911-03A-01T-0734-13
LYZ::SMG1__12:69353479-16:18807811	LYZ::SMG1	12:69353479-16:18807811	+	-	1	1	LAML	TCGA-AB-2911-03A-01T-0734-13
CBFB::MYH11__16:67082339-16:15721051	CBFB::MYH11	16:67082339-16:15721051	+	-	2	41	LAML	TCGA-AB-2914-03A-01T-0734-13
RUNX1::MECOM__21:34834410-3:169381524	RUNX1::MECOM	21:34834410-3:169381524	-	-	1	67	LAML	TCGA-AB-2915-03A-01T-0740-13
DPM1::GRID1__20:50955186-10:85916239	DPM1::GRID1	20:50955186-10:85916239	-	-	2	16	LAML	TCGA-AB-2915-03A-01T-0740-13
MAPK1::SSU72__22:21760843-1:1562576	MAPK1::SSU72	22:21760843-1:1562576	-	-	1	0	LAML	TCGA-AB-2915-03A-01T-0740-13
WNK1::RAD52__12:896455-12:916675	WNK1::RAD52	12:896455-12:916675	+	-	1	0	LAML	TCGA-AB-2915-03A-01T-0740-13
NUP98::NSD1__11:3744509-5:177235821	NUP98::NSD1	11:3744509-5:177235821	-	+	1	13	LAML	TCGA-AB-2918-03A-01T-0740-13
CDK8::GTF2F2__13:26254769-13:45207424	CDK8::GTF2F2	13:26254769-13:45207424	+	+	1	0	LAML	TCGA-AB-2918-03A-01T-0740-13
KPNB1::ACE3P__17:47658660-17:63507056	KPNB1::ACE3P	17:47658660-17:63507056	+	+	10	12	LAML	TCGA-AB-2920-03B-01T-0760-13
CHST11::ATP1B4__12:104601991-X:120366525	CHST11::ATP1B4	12:104601991-X:120366525	+	+	4	20	LAML	TCGA-AB-2920-03B-01T-0760-13
WSB1::NBR1__17:27294435-17:43175791	WSB1::NBR1	17:27294435-17:43175791	+	+	4	6	LAML	TCGA-AB-2920-03B-01T-0760-13
ABR::YWHAE__17:1228793-17:1365058	ABR::YWHAE	17:1228793-17:1365058	-	-	1	0	LAML	TCGA-AB-2920-03B-01T-0760-13
FGFR3::TACC3__4:1806071-4:1728244	FGFR3::TACC3	4:1806071-4:1728244	+	+	1	0	LAML	TCGA-AB-2920-03B-01T-0760-13
KSR1::TENM1__12:25877734-X:123695667	KSR1::TENM1	12:25877734-X:123695667	+	-	4	7	LAML	TCGA-AB-2920-03B-01T-0760-13
SRPK2::SRPK2P__7:105117393-8:62863300	SRPK2::SRPK2P	7:105117393-8:62863300	-	-	1	10	LAML	TCGA-AB-2921-03A-01T-0740-13
GGA2::PRKCB__16:23467213-16:24219622	GGA2::PRKCB	16:23467213-16:24219622	-	+	1	0	LAML	TCGA-AB-2929-03A-01T-0735-13
NUP98::NSD1__11:3753316-5:177235821	NUP98::NSD1	11:3753316-5:177235821	-	+	2	6	LAML	TCGA-AB-2930-03A-01T-0740-13
SLC29A3::UNC5B__10:71351650-10:71302559	SLC29A3::UNC5B	10:71351650-10:71302559	+	+	1	0	LAML	TCGA-AB-2932-03A-01T-0740-13
NUCB1::RUVBL2__19:48904454-19:49009776	NUCB1::RUVBL2	19:48904454-19:49009776	+	+	2	17	LAML	TCGA-AB-2935-03A-01T-0740-13
RUNX1::RUNX1T1__21:34859474-8:92017363	RUNX1::RUNX1T1	21:34859474-8:92017363	-	-	3	210	LAML	TCGA-AB-2937-03A-01T-0734-13
RPL37::RP1-228P16.1__5:40830838-12:48055163	RPL37::RP1-228P16.1	5:40830838-12:48055163	-	-	1	8	LAML	TCGA-AB-2937-03A-01T-0734-13
ZBTB7A::TNK1__19:4055119-17:7382850	ZBTB7A::TNK1	19:4055119-17:7382850	-	+	1	329	LAML	TCGA-AB-2938-03A-01T-0736-13
C20orf203::NOL4L__20:32632929-20:32527913	C20orf203::NOL4L	20:32632929-20:32527913	-	-	1	22	LAML	TCGA-AB-2938-03A-01T-0736-13
CHD1::MTOR__5:98863408-1:11213566	CHD1::MTOR	5:98863408-1:11213566	-	-	10	22	LAML	TCGA-AB-2939-03A-01T-0740-13
BCR::ABL1__22:23290413-9:130854064	BCR::ABL1	22:23290413-9:130854064	+	+	4	69	LAML	TCGA-AB-2941-03A-01T-0740-13
CBFB::MYH11__16:67082305-16:15721053	CBFB::MYH11	16:67082305-16:15721053	+	-	1	15	LAML	TCGA-AB-2942-03A-01T-0734-13
MECOM::RPN1__3:169663336-3:128644983	MECOM::RPN1	3:169663336-3:128644983	-	-	12	26	LAML	TCGA-AB-2944-03A-01T-0740-13
BCR::ABL1__22:23182239-9:130854064	BCR::ABL1	22:23182239-9:130854064	+	+	2	5	LAML	TCGA-AB-2944-03A-01T-0740-13
RPL10::RPL10P6__X:154400877-2:214847401	RPL10::RPL10P6	X:154400877-2:214847401	+	+	1	82	LAML	TCGA-AB-2949-03B-01T-0748-13
RUNX1::RUNX1T1__21:34887012-8:92062663	RUNX1::RUNX1T1	21:34887012-8:92062663	-	-	1	453	LAML	TCGA-AB-2950-03A-01T-0735-13
NF1::LRRC37B__17:31095369-17:32045700	NF1::LRRC37B	17:31095369-17:32045700	+	+	1	8	LAML	TCGA-AB-2952-03B-01T-0760-13
CBFB::MYH11__16:67082339-16:15721051	CBFB::MYH11	16:67082339-16:15721051	+	-	1	48	LAML	TCGA-AB-2954-03A-01T-0736-13
LYZ::STK10__12:69353978-5:172043346	LYZ::STK10	12:69353978-5:172043346	+	-	1	0	LAML	TCGA-AB-2954-03A-01T-0736-13
KMT2A::MLLT3__11:118353210-9:20365742	KMT2A::MLLT3	11:118353210-9:20365742	+	-	1	52	LAML	TCGA-AB-2956-03A-01T-0740-13
VTI1B::RDH11__14:67674375-14:67693052	VTI1B::RDH11	14:67674375-14:67693052	-	-	3	9	LAML	TCGA-AB-2956-03A-01T-0740-13
RPSAP26::RPSAP53__2:62146840-13:67266885	RPSAP26::RPSAP53	2:62146840-13:67266885	+	-	1	9	LAML	TCGA-AB-2964-03A-01T-0734-13
FKBP15::RET__9:113174562-10:43112136	FKBP15::RET	9:113174562-10:43112136	-	+	1	0	LAML	TCGA-AB-2971-03A-01T-0734-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	4	30	LAML	TCGA-AB-2980-03A-01T-0734-13
VTI1A::TCF7L2__10:112538330-10:113141184	VTI1A::TCF7L2	10:112538330-10:113141184	+	+	1	0	LAML	TCGA-AB-2981-03B-01T-0748-13
ARID1A::RPS6KA1__1:26779283-1:26546912	ARID1A::RPS6KA1	1:26779283-1:26546912	+	+	1	0	LAML	TCGA-AB-2981-03B-01T-0748-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	4	23	LAML	TCGA-AB-2982-03B-01T-0748-13
ABR::YWHAE__17:1228793-17:1365058	ABR::YWHAE	17:1228793-17:1365058	-	-	1	0	LAML	TCGA-AB-2984-03A-01T-0734-13
HBG1::HBE1__11:5248408-11:5269468	HBG1::HBE1	11:5248408-11:5269468	-	-	1	8	LAML	TCGA-AB-2985-03A-01T-0734-13
KMT2A::MLLT10__11:118226405-10:22229531	KMT2A::MLLT10	11:118226405-10:22229531	+	+	9	4	LAML	TCGA-AB-2985-03A-01T-0734-13
ANKRD28::FLT3__3:15679476-13:28028288	ANKRD28::FLT3	3:15679476-13:28028288	-	-	1	0	LAML	TCGA-AB-2990-03B-01T-0748-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	2	57	LAML	TCGA-AB-2991-03A-01T-0735-13
SPN::MPO__16:29665434-17:58278190	SPN::MPO	16:29665434-17:58278190	+	-	1	8	LAML	TCGA-AB-2991-03A-01T-0735-13
MPO::NTNG2__17:58279036-9:132243684	MPO::NTNG2	17:58279036-9:132243684	-	+	1	6	LAML	TCGA-AB-2991-03A-01T-0735-13
RPS8::MPO__1:44775906-17:58280915	RPS8::MPO	1:44775906-17:58280915	+	-	1	0	LAML	TCGA-AB-2993-03A-01T-0735-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	6	41	LAML	TCGA-AB-2994-03A-01T-0735-13
ARHGEF18::INSR__19:7447168-19:7267896	ARHGEF18::INSR	19:7447168-19:7267896	+	-	1	0	LAML	TCGA-AB-2994-03A-01T-0735-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	8	55	LAML	TCGA-AB-2998-03A-01T-0735-13
PML::RARA__15:74033414-17:40348316	PML::RARA	15:74033414-17:40348316	+	+	2	15	LAML	TCGA-AB-2999-03B-01T-0748-13
WNK1::RAD52__12:868503-12:913192	WNK1::RAD52	12:868503-12:913192	+	-	1	0	LAML	TCGA-AB-2999-03B-01T-0748-13
PML::RARA__15:74023408-17:40342754	PML::RARA	15:74023408-17:40342754	+	+	7	59	LAML	TCGA-AB-3001-03A-01T-0736-13
PDCD6IPP1::PDCD6IPP2__15:22727172-15:28856220	PDCD6IPP1::PDCD6IPP2	15:22727172-15:28856220	+	+	1	8	LAML	TCGA-AB-3005-03A-01T-0736-13
MTND2P28::CD74__1:630642-5:150401947	MTND2P28::CD74	1:630642-5:150401947	+	-	1	6	LAML	TCGA-AB-3005-03A-01T-0736-13
KMT2A::MLLT10__11:118221668-10:22291630	KMT2A::MLLT10	11:118221668-10:22291630	+	+	9	7	LAML	TCGA-AB-3005-03A-01T-0736-13
PML::RARA__15:74023408-17:40348316	PML::RARA	15:74023408-17:40348316	+	+	10	67	LAML	TCGA-AB-3007-03A-01T-0736-13
RPL13::MPO__16:89561671-17:58271859	RPL13::MPO	16:89561671-17:58271859	+	-	1	5	LAML	TCGA-AB-3007-03A-01T-0736-13
PML::RARA__15:74024927-17:40348316	PML::RARA	15:74024927-17:40348316	+	+	1	76	LAML	TCGA-AB-3012-03A-01T-0736-13
CPSF6::PTPRB__12:69239706-12:70581302	CPSF6::PTPRB	12:69239706-12:70581302	+	-	970	3430	LGG	TCGA-CS-4941-01A-01R-1470-07
REV3L::FN3KRP__6:111307361-17:82726480	REV3L::FN3KRP	6:111307361-17:82726480	-	+	2	27	LGG	TCGA-CS-4942-01A-01R-1470-07
FMR1::AFF2__X:147921985-X:148651999	FMR1::AFF2	X:147921985-X:148651999	+	+	2	23	LGG	TCGA-CS-4942-01A-01R-1470-07
MAP3K13::UTS2B__3:185363368-3:191328709	MAP3K13::UTS2B	3:185363368-3:191328709	+	-	3	17	LGG	TCGA-CS-4942-01A-01R-1470-07
RAD51AP1::ST8SIA1__12:4538956-12:22249098	RAD51AP1::ST8SIA1	12:4538956-12:22249098	+	-	37	107	LGG	TCGA-CS-4943-01A-01R-1470-07
TOMM70::KCTD8__3:100400626-4:44175250	TOMM70::KCTD8	3:100400626-4:44175250	-	-	24	125	LGG	TCGA-CS-4943-01A-01R-1470-07
ARL5B::CCDC102B__10:18659683-18:68716528	ARL5B::CCDC102B	10:18659683-18:68716528	+	+	3	11	LGG	TCGA-CS-4943-01A-01R-1470-07
ZNF577::GRIK5__19:51877282-19:42006810	ZNF577::GRIK5	19:51877282-19:42006810	-	-	1	17	LGG	TCGA-CS-4943-01A-01R-1470-07
UBE2E1::ZNF385D__3:23807421-3:21437203	UBE2E1::ZNF385D	3:23807421-3:21437203	+	-	1	3	LGG	TCGA-CS-4943-01A-01R-1470-07
PTGDS::CLU__9:136977692-8:27598250	PTGDS::CLU	9:136977692-8:27598250	+	-	1	25	LGG	TCGA-CS-4944-01A-01R-1470-07
ADNP2::PARD6G__18:80109472-18:80202932	ADNP2::PARD6G	18:80109472-18:80202932	+	-	1	2	LGG	TCGA-CS-5393-01A-01R-1470-07
LIN9::KDM5B__1:226277775-1:202777094	LIN9::KDM5B	1:226277775-1:202777094	-	-	7	22	LGG	TCGA-CS-5395-01A-01R-1470-07
RUSC2::ABAT__9:35490172-16:8764069	RUSC2::ABAT	9:35490172-16:8764069	+	+	34	34	LGG	TCGA-CS-5397-01A-01R-1896-07
SMOX::EIF3D__20:4148977-22:36526131	SMOX::EIF3D	20:4148977-22:36526131	+	-	16	52	LGG	TCGA-CS-5397-01A-01R-1896-07
AIP::LYZL6__11:67483257-17:35939558	AIP::LYZL6	11:67483257-17:35939558	+	-	8	48	LGG	TCGA-CS-5397-01A-01R-1896-07
SYS1::TAF15__20:45363693-17:35842367	SYS1::TAF15	20:45363693-17:35842367	+	+	1	20	LGG	TCGA-CS-5397-01A-01R-1896-07
